;link;Amount;ComplRate;OverSuccess;Duration;NDon;ADon;NInfo;NPers;NComment;NJumpA;NJump1;NDonLevel;BCulture;OtherProject;Facebook;NFacebook
114;https://www.kisskissbankbank.com/fr/projects/enregistrement-du-nouvel-album-au-feel-du-temps-la-malmaison;2415;120;1;60;85;27.625;16;1;9;26;80;0;1;0;1;1613
115;https://www.kisskissbankbank.com/fr/projects/adrenalin-painting;555;100;0;60;10;29.666666666666668;13;4;1;4;6;0;1;0;0;0
116;https://www.kisskissbankbank.com/fr/projects/innova-2015-au-travail;1503;100;0;60;42;21.263157894736842;14;3;3;12;38;0;1;1;1;519
117;https://www.kisskissbankbank.com/fr/projects/lilurarik-ez-le-nouvel-album-de-act;1570;105;0;60;24;39.21052631578947;17;0;8;5;19;0;1;0;0;0
118;https://www.kisskissbankbank.com/fr/projects/boutique-atelier-nathalie-grelier;3630;121;1;60;68;53.656716417910445;12;4;25;13;67;0;0;0;1;2517
119;https://www.kisskissbankbank.com/fr/projects/spectacle-musical-all-inclusive;4125;103;0;60;19;68.57142857142857;15;1;2;6;14;0;1;0;1;436
120;https://www.kisskissbankbank.com/fr/projects/ouverture-de-la-boutique-tshirt-mania-jeune-original-et-local;7752;103;0;60;66;31.983606557377048;12;4;44;21;61;3;0;0;1;13207
121;https://www.kisskissbankbank.com/fr/projects/almeria-un-nouvel-ep-et-un-clip--2;5640;112;1;60;75;70.84905660377359;5;11;11;18;53;1;1;0;1;1125
122;https://www.kisskissbankbank.com/fr/projects/une-victoire-pour-l-emploi;26895;107;1;60;43;141.25;14;2;9;8;36;3;0;0;0;0
123;https://www.kisskissbankbank.com/fr/projects/too-good-to-go;12209;101;0;60;361;28.956375838926174;2;14;60;79;291;0;0;0;0;0
124;https://www.kisskissbankbank.com/fr/projects/krut-herbes-du-frais-du-froid-du-bio;3235;107;1;60;66;49.83606557377049;14;2;20;24;61;0;0;0;1;2572
125;https://www.kisskissbankbank.com/fr/projects/les-bruits-du-noir-a-avignon;5794;107;1;60;95;56.2125;12;4;30;31;80;0;1;1;1;485
126;https://www.kisskissbankbank.com/fr/projects/ma-mere-et-mon-pere-annem-ve-babam-en-dvd-et-en-anglais;6010;100;0;60;49;120.2051282051282;4;12;19;9;38;0;1;0;1;675
127;https://www.kisskissbankbank.com/fr/projects/l-impasse--2;4640;116;1;60;22;129.0625;16;0;5;1;16;1;1;1;0;0
128;https://www.kisskissbankbank.com/fr/projects/blues-chocolat-un-spectacle-musico-culinaire-gourmand-en-avignon;6061;104;0;60;71;59.09090909090909;6;10;18;16;55;0;1;0;1;558
129;https://www.kisskissbankbank.com/fr/projects/peripleties-voyages-reportages--2;6700;121;1;60;160;36.51908396946565;13;3;54;44;131;0;1;0;1;5764
130;https://www.kisskissbankbank.com/fr/projects/bloody-day-webserie;4605;109;1;60;41;59.39393939393939;11;5;9;11;33;1;1;0;0;0
131;https://www.kisskissbankbank.com/fr/projects/collibris-rencontrez-votre-prochaine-lecture;3786;126;1;60;118;33.265306122448976;16;0;35;32;93;0;1;0;0;0
